split,arm,method,case_id,replicate,predicted_1,predicted_2,predicted_3,prediction_count,shape_valid,expected_1,expected_2,expected_3,correct_terms,term_accuracy,exact_triplet,rule_score,confidence,calibration_score,rule,source
final,low,direct,F12,4,2357947691,61917364224,1792160394037,3,1,2357947691,61917364224,1792160394037,3,1.000000,1,0,1.0000,1.000000,a(n)=n^(n−2),final-low-independent-r04
final,low,direct,F01,5,115975,678570,4213597,3,1,50521,353792,2702765,0,0.000000,0,0,0.9900,0.019900,"Bell numbers B10, B11, B12",final-low-independent-r05
final,low,direct,F02,5,9044,32060,117136,3,1,9496,35696,140152,0,0.000000,0,0,0.2200,0.951600,Integer sequence continuation by its compact linear recurrence,final-low-independent-r05
final,low,direct,F03,5,8907,25315,72123,3,1,8953,25653,73789,0,0.000000,0,0,0.2000,0.960000,Integer sequence continuation by its compact linear recurrence,final-low-independent-r05
final,low,direct,F04,5,2181,5749,15363,3,1,2188,5798,15511,0,0.000000,0,0,0.2400,0.942400,Integer sequence continuation by its compact linear recurrence,final-low-independent-r05
final,low,direct,F05,5,2531610,5148611,10442292,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.1500,0.977500,Integer sequence continuation by its compact polynomial recurrence,final-low-independent-r05
final,low,direct,F06,5,115031846,1380382151,17944967966,3,1,115030808,1380369733,17944806488,0,0.000000,0,0,0.1200,0.985600,Integer sequence continuation by its compact recurrence,final-low-independent-r05
final,low,direct,F07,5,42,729,132,3,1,42,729,132,3,1.000000,1,0,0.9900,0.999900,Odd-positioned terms are Catalan numbers; even-positioned terms are powers of 3,final-low-independent-r05
final,low,direct,F08,5,261126,786450,2367766,3,1,261625,788970,2375101,0,0.000000,0,0,0.1800,0.967600,Integer sequence continuation by its compact linear recurrence,final-low-independent-r05
final,low,direct,F09,5,145435,203687,274859,3,1,161082,248869,371334,0,0.000000,0,0,0.1500,0.977500,Integer sequence continuation by its compact polynomial recurrence,final-low-independent-r05
final,low,direct,F10,5,19897,26833,35617,3,1,28296,37557,48205,0,0.000000,0,0,0.1400,0.980400,Integer sequence continuation by its compact polynomial recurrence,final-low-independent-r05
final,low,direct,F11,5,14476,29097,58398,3,1,14506,29157,58482,0,0.000000,0,0,0.1700,0.971100,Integer sequence continuation by its compact linear recurrence,final-low-independent-r05
final,low,direct,F12,5,2357947691,61917364224,1792160394037,3,1,2357947691,61917364224,1792160394037,3,1.000000,1,1,0.9900,0.999900,a_n=n^(n-2),final-low-independent-r05
final,low,direct,F01,6,50521,373504,3111553,3,1,50521,353792,2702765,1,0.333333,0,0,0.1200,0.985600,a(n)=n*a(n-1)+sum_{k=1}^{n-2} k!,final-low-independent-r06
final,low,direct,F02,6,9214,33442,122614,3,1,9496,35696,140152,0,0.000000,0,0,0.0800,0.993600,a(n)=3*a(n-1)-a(n-2)+(-1)^n*n,final-low-independent-r06
final,low,direct,F03,6,8915,25403,72475,3,1,8953,25653,73789,0,0.000000,0,0,0.0500,0.997500,a(n)=3*a(n-1)-a(n-2)-correction(n),final-low-independent-r06
final,low,direct,F04,6,2187,5747,15243,3,1,2188,5798,15511,0,0.000000,0,0,0.0500,0.997500,a(n)=3*a(n-1)-a(n-2)+increasing correction,final-low-independent-r06
final,low,direct,F05,6,2819902,6389733,14600004,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.0300,0.999100,interleaved polynomial-growth recurrence,final-low-independent-r06
final,low,direct,F06,6,115030844,1380369931,17944809004,3,1,115030808,1380369733,17944806488,0,0.000000,0,0,0.0400,0.998400,a(n)=n*a(n-1)+structured lower-order terms,final-low-independent-r06
final,low,direct,F07,6,42,729,132,3,1,42,729,132,3,1.000000,1,0,0.9900,0.999900,odd-indexed terms are Catalan numbers; even-indexed terms are powers of 3,final-low-independent-r06
final,low,direct,F08,6,259705,779370,2338621,3,1,261625,788970,2375101,0,0.000000,0,0,0.9800,0.039600,a(n)=3*a(n-1)+2^n-1,final-low-independent-r06
final,low,direct,F09,6,149952,211067,286563,3,1,161082,248869,371334,0,0.000000,0,0,0.1800,0.967600,finite-difference polynomial continuation,final-low-independent-r06
final,low,direct,F10,6,28296,37557,48205,3,1,28296,37557,48205,3,1.000000,1,0,0.3500,0.577500,"successive increments are cubes with roots following the repeating 2,1,1,2 pattern",final-low-independent-r06
final,low,direct,F11,6,14478,29099,58342,3,1,14506,29157,58482,0,0.000000,0,0,0.0700,0.995100,approximately doubling with an alternating additive recurrence,final-low-independent-r06
final,low,direct,F12,6,2357947691,61917364224,1792160394037,3,1,2357947691,61917364224,1792160394037,3,1.000000,1,1,1.0000,1.000000,a(n)=n^(n-2),final-low-independent-r06
final,low,direct,F01,7,353792,2702765,22368256,3,1,50521,353792,2702765,0,0.000000,0,1,0.9900,0.019900,Euler zigzag (up/down) numbers,final-low-independent-r07
final,low,direct,F02,7,7096,18668,48908,3,1,9496,35696,140152,0,0.000000,0,0,0.9900,0.019900,a(n)=3a(n-1)-a(n-2),final-low-independent-r07
final,low,direct,F03,7,7385,17909,43203,3,1,8953,25653,73789,0,0.000000,0,0,0.9900,0.019900,a(n)=2a(n-1)+a(n-2),final-low-independent-r07
final,low,direct,F04,7,2187,5835,15603,3,1,2188,5798,15511,0,0.000000,0,0,0.1800,0.967600,approximately cubic-growth recurrence inferred from the prefix,final-low-independent-r07
final,low,direct,F05,7,2530120,5138901,10439982,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.1200,0.985600,compact nonlinear recurrence inferred from the prefix,final-low-independent-r07
final,low,direct,F06,7,115030834,1380369997,17944809968,3,1,115030808,1380369733,17944806488,0,0.000000,0,0,0.1500,0.977500,multiplicative recurrence with increasing coefficients,final-low-independent-r07
final,low,direct,F07,7,42,729,132,3,1,42,729,132,3,1.000000,1,0,0.9900,0.999900,odd terms are Catalan numbers; even terms are powers of 3,final-low-independent-r07
final,low,direct,F08,7,261901,789410,2379117,3,1,261625,788970,2375101,0,0.000000,0,0,0.2200,0.951600,near-tripling recurrence inferred from the prefix,final-low-independent-r07
final,low,direct,F09,7,160295,243379,352947,3,1,161082,248869,371334,0,0.000000,0,0,0.1500,0.977500,polynomial-growth sequence inferred from the prefix,final-low-independent-r07
final,low,direct,F10,7,22912,25920,29400,3,1,28296,37557,48205,0,0.000000,0,0,0.2000,0.960000,cubic-increment pattern inferred from the prefix,final-low-independent-r07
final,low,direct,F11,7,14491,29102,58321,3,1,14506,29157,58482,0,0.000000,0,0,0.1800,0.967600,near-doubling recurrence inferred from the prefix,final-low-independent-r07
final,low,direct,F12,7,25937424601,743008370688,23298085122481,3,1,2357947691,61917364224,1792160394037,0,0.000000,0,0,0.9900,0.019900,a(n)=n^(n-1),final-low-independent-r07
final,low,direct,F01,8,50521,353792,2702765,3,1,50521,353792,2702765,3,1.000000,1,0,0.9900,0.999900,Bell numbers,final-low-independent-r08
final,low,direct,F02,8,9348,34144,128252,3,1,9496,35696,140152,0,0.000000,0,0,0.1800,0.967600,Recurrence a(n)=approximately 3a(n-1)-a(n-2) with growing correction,final-low-independent-r08
final,low,direct,F03,8,7385,17909,43203,3,1,8953,25653,73789,0,0.000000,0,0,0.9900,0.019900,a(n)=2a(n-1)+a(n-2),final-low-independent-r08
final,low,direct,F04,8,2187,5797,15603,3,1,2188,5798,15511,0,0.000000,0,0,0.2200,0.951600,Compact linear recurrence extrapolation,final-low-independent-r08
final,low,direct,F05,8,2789584,6411657,14924370,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.1200,0.985600,Interleaved nonlinear recurrence extrapolation,final-low-independent-r08
final,low,direct,F06,8,115030000,1380360001,17944680002,3,1,115030808,1380369733,17944806488,0,0.000000,0,0,0.1000,0.990000,Rapidly accelerating factorial-like recurrence,final-low-independent-r08
final,low,direct,F07,8,42,729,132,3,1,42,729,132,3,1.000000,1,0,0.9900,0.999900,Odd terms are Catalan numbers; even terms are powers of 3,final-low-independent-r08
final,low,direct,F08,8,260905,784650,2354213,3,1,261625,788970,2375101,0,0.000000,0,0,0.2000,0.960000,Exponential linear recurrence extrapolation,final-low-independent-r08
final,low,direct,F09,8,160328,247995,370880,3,1,161082,248869,371334,0,0.000000,0,0,0.1500,0.977500,Polynomial-growth recurrence extrapolation,final-low-independent-r08
final,low,direct,F10,8,27945,37644,49920,3,1,28296,37557,48205,0,0.000000,0,0,0.1800,0.967600,Polynomial-growth recurrence extrapolation,final-low-independent-r08
final,low,direct,F11,8,14499,29111,58313,3,1,14506,29157,58482,0,0.000000,0,0,0.2000,0.960000,Near-doubling linear recurrence extrapolation,final-low-independent-r08
final,low,direct,F12,8,25937424601,743008370688,23298085122481,3,1,2357947691,61917364224,1792160394037,0,0.000000,0,0,0.9900,0.019900,Term n is n^(n-1),final-low-independent-r08
final,low,direct,F01,9,NaN,NaN,NaN,0,0,50521,353792,2702765,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F02,9,NaN,NaN,NaN,0,0,9496,35696,140152,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F03,9,NaN,NaN,NaN,0,0,8953,25653,73789,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F04,9,NaN,NaN,NaN,0,0,2188,5798,15511,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F05,9,NaN,NaN,NaN,0,0,2170810,4044971,6870732,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F06,9,NaN,NaN,NaN,0,0,115030808,1380369733,17944806488,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F07,9,NaN,NaN,NaN,0,0,42,729,132,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F08,9,NaN,NaN,NaN,0,0,261625,788970,2375101,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F09,9,NaN,NaN,NaN,0,0,161082,248869,371334,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F10,9,NaN,NaN,NaN,0,0,28296,37557,48205,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F11,9,NaN,NaN,NaN,0,0,14506,29157,58482,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F12,9,NaN,NaN,NaN,0,0,2357947691,61917364224,1792160394037,0,0.000000,0,0,0.0000,1.000000,,final-low-independent-r09
final,low,direct,F01,10,49681,346035,2768281,3,1,50521,353792,2702765,0,0.000000,0,0,0.1800,0.967600,a(n)=n*a(n-1)+sum_{k=1}^{n-2} a(k),final-low-independent-r10
final,low,direct,F02,10,6004,14628,35660,3,1,9496,35696,140152,0,0.000000,0,0,0.9900,0.019900,a(n)=2*a(n-1)+a(n-2),final-low-independent-r10
final,low,direct,F03,10,3069,8493,23517,3,1,8953,25653,73789,0,0.000000,0,0,0.9900,0.019900,a(n)=3*a(n-1)-a(n-2)+a(n-3),final-low-independent-r10
final,low,direct,F04,10,2181,5741,15147,3,1,2188,5798,15511,0,0.000000,0,0,0.1200,0.985600,linear recurrence with increasing correction terms,final-low-independent-r10
final,low,direct,F05,10,2539750,5208541,10700376,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.0800,0.993600,alternating polynomial recurrence,final-low-independent-r10
final,low,direct,F06,10,115031844,1495413973,20935885500,3,1,115030808,1380369733,17944806488,0,0.000000,0,0,0.1000,0.990000,multiplicative recurrence with index-dependent multiplier,final-low-independent-r10
final,low,direct,F07,10,42,729,132,3,1,42,729,132,3,1.000000,1,0,0.9900,0.999900,odd terms are Catalan numbers; even terms are powers of 3,final-low-independent-r10
final,low,direct,F08,10,260485,779970,2329453,3,1,261625,788970,2375101,0,0.000000,0,0,0.1500,0.977500,linear recurrence with constant coefficients,final-low-independent-r10
final,low,direct,F09,10,161072,248855,371318,3,1,161082,248869,371334,0,0.000000,0,0,0.9900,0.019900,a(n)=n^5+2n-1,final-low-independent-r10
final,low,direct,F10,10,26001,32768,40489,3,1,28296,37557,48205,0,0.000000,0,0,0.2000,0.960000,cumulative sequence of selected cubes,final-low-independent-r10
final,low,direct,F11,10,14494,29149,58596,3,1,14506,29157,58482,0,0.000000,0,0,0.1400,0.980400,approximately doubling with an index-dependent correction,final-low-independent-r10
final,low,direct,F12,10,2357947691,61917364224,1792160394037,3,1,2357947691,61917364224,1792160394037,3,1.000000,1,1,0.9900,0.999900,"a(n)=n^(n-2), for n>=3",final-low-independent-r10
final,low,ensemble,F01,,50521,353792,2702765,3,1,50521,353792,2702765,3,1.000000,1,0,0.9900,0.999900,Bell numbers,plurality 1/9 valid from 10 calls
final,low,ensemble,F02,,6004,14628,35660,3,1,9496,35696,140152,0,0.000000,0,0,0.9900,0.019900,a(n)=2*a(n-1)+a(n-2),plurality 1/9 valid from 10 calls
final,low,ensemble,F03,,7385,17909,43203,3,1,8953,25653,73789,0,0.000000,0,0,0.9900,0.019900,a(n)=2a(n−1)+a(n−2),plurality 3/9 valid from 10 calls
final,low,ensemble,F04,,2181,5731,15179,3,1,2188,5798,15511,0,0.000000,0,0,0.3500,0.877500,a(n)=3a(n-1)-a(n-2)+(-1)^n,plurality 1/9 valid from 10 calls
final,low,ensemble,F05,,2563110,5327287,11070252,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.1800,0.967600,a(n)=2a(n-1)+2^n+(-1)^n n!,plurality 1/9 valid from 10 calls
final,low,ensemble,F06,,115030868,1380370385,17944815042,3,1,115030808,1380369733,17944806488,0,0.000000,0,1,0.9600,0.078400,a(n)=n·a(n−1)+(-1)^n times the nth prime,plurality 1/9 valid from 10 calls
final,low,ensemble,F07,,42,729,132,3,1,42,729,132,3,1.000000,1,0,0.9900,0.999900,odd positions are Catalan numbers; even positions are powers of 3,plurality 8/8 valid from 10 calls
final,low,ensemble,F08,,259705,779370,2338621,3,1,261625,788970,2375101,0,0.000000,0,0,0.9800,0.039600,a(n)=3*a(n-1)+2^n-1,plurality 1/9 valid from 10 calls
final,low,ensemble,F09,,161072,248855,371318,3,1,161082,248869,371334,0,0.000000,0,0,0.9900,0.019900,a(n)=n^5+2n-1,plurality 1/9 valid from 10 calls
final,low,ensemble,F10,,28296,37557,48205,3,1,28296,37557,48205,3,1.000000,1,0,0.4150,0.657775,Each difference is the cube of successive composite integers,plurality 2/9 valid from 10 calls
final,low,ensemble,F11,,14484,29069,58262,3,1,14506,29157,58482,0,0.000000,0,0,0.3300,0.891100,a(n)=2a(n-1)+2^{n-1}+(-1)^n,plurality 1/9 valid from 10 calls
final,low,ensemble,F12,,2357947691,61917364224,1792160394037,3,1,2357947691,61917364224,1792160394037,3,1.000000,1,1,0.9929,0.999949,a(n)=n^(n-2),plurality 7/9 valid from 10 calls
final,low,collaboration,F01,,50521,353792,2702765,3,1,50521,353792,2702765,3,1.000000,1,1,1.0000,1.000000,Euler zigzag numbers,final-low-judge-judge
final,low,collaboration,F02,,9496,35696,140152,3,1,9496,35696,140152,3,1.000000,1,1,1.0000,1.000000,Involution numbers: a(n)=a(n-1)+(n-1)a(n-2),final-low-judge-judge
final,low,collaboration,F03,,8311,21894,57371,3,1,8953,25653,73789,0,0.000000,0,0,0.8500,0.277500,a(n)=3a(n-1)-a(n-2)+(-1)^n,final-low-judge-judge
final,low,collaboration,F04,,2188,5798,15511,3,1,2188,5798,15511,3,1.000000,1,1,1.0000,1.000000,Motzkin numbers,final-low-judge-judge
final,low,collaboration,F05,,2794482,6313847,14082096,3,1,2170810,4044971,6870732,0,0.000000,0,0,0.2000,0.960000,Alternating index-weighted recurrence,final-low-judge-judge
final,low,collaboration,F06,,115030808,1380369733,17944806488,3,1,115030808,1380369733,17944806488,3,1.000000,1,1,1.0000,1.000000,a(n)=n*a(n-1)+(-1)^n times the nth prime,final-low-judge-judge
final,low,collaboration,F07,,42,729,132,3,1,42,729,132,3,1.000000,1,1,1.0000,1.000000,Interleaved Catalan numbers and powers of three,final-low-judge-judge
final,low,collaboration,F08,,260601,783850,2355645,3,1,261625,788970,2375101,0,0.000000,0,0,1.0000,0.000000,a(n)=3a(n-1)+2^n-1,final-low-judge-judge
final,low,collaboration,F09,,161082,248869,371334,3,1,161082,248869,371334,3,1.000000,1,1,1.0000,1.000000,a(n)=n^5 plus the nth prime,final-low-judge-judge
final,low,collaboration,F10,,20344,27232,35584,3,1,28296,37557,48205,0,0.000000,0,0,0.2000,0.960000,Cumulative cubes with patterned bases,final-low-judge-judge
final,low,collaboration,F11,,14506,29157,58482,3,1,14506,29157,58482,3,1.000000,1,0,0.9900,0.999900,a(n)=2a(n-1)+n^2+(-1)^n,final-low-judge-judge
final,low,collaboration,F12,,285311670611,8916100448256,302875106592253,3,1,2357947691,61917364224,1792160394037,0,0.000000,0,0,1.0000,0.000000,a(n)=n^n,final-low-judge-judge
final,medium,direct,F01,1,50521,353792,2702765,3,1,50521,353792,2702765,3,1.000000,1,0,0.6200,0.855600,Number sequence with standard recurrence a(n)=n*a(n-1)+sum_{k=1}^{n-2} k*a(k),final-medium-independent-r01
final,medium,direct,F02,1,10260,39080,162200,3,1,9496,35696,140152,0,0.000000,0,1,0.9900,0.019900,Involution numbers: a(n)=a(n-1)+(n-1)a(n-2),final-medium-independent-r01
final,medium,direct,F03,1,8953,25695,73847,3,1,8953,25653,73789,1,0.333333,0,0,0.4800,0.769600,Standard recurrence sequence continuing the exact prefix,final-medium-independent-r01
final,medium,direct,F04,1,2188,5798,15511,3,1,2188,5798,15511,3,1.000000,1,1,0.9900,0.999900,Motzkin numbers,final-medium-independent-r01
final,medium,direct,F05,1,2170810,4044971,6870732,3,1,2170810,4044971,6870732,3,1.000000,1,0,0.9900,0.999900,"Start at 16 and add successive prime fourth powers: 3^4,5^4,7^4,...",final-medium-independent-r01
final,medium,direct,F06,1,104573521,1254882215,16313468836,3,1,115030808,1380369733,17944806488,0,0.000000,0,1,0.9900,0.019900,a(n)=n*a(n-1)+(-1)^n times the (n+1)th prime,final-medium-independent-r01
final,medium,direct,F07,1,42,729,132,3,1,42,729,132,3,1.000000,1,0,0.9900,0.999900,Odd positions are Catalan numbers; even positions are powers of 3,final-medium-independent-r01
final,medium,direct,F08,1,261625,788970,2375101,3,1,261625,788970,2375101,3,1.000000,1,0,0.9900,0.999900,a(n)=3a(n-1)+2^n-1,final-medium-independent-r01
final,medium,direct,F09,1,161082,248869,371334,3,1,161082,248869,371334,3,1.000000,1,1,0.9900,0.999900,a(n)=n^5 plus the nth prime,final-medium-independent-r01
final,medium,direct,F10,1,28296,37557,48205,3,1,28296,37557,48205,3,1.000000,1,1,0.9400,0.996400,"Cumulative cubes of composite integers, beginning with 4^3",final-medium-independent-r01
final,medium,direct,F11,1,14506,29155,58478,3,1,14506,29157,58482,1,0.333333,0,0,0.9900,0.019900,a(n)=2a(n-1)+n^2+(-1)^n,final-medium-independent-r01
final,medium,direct,F12,1,2357947691,61917364224,1792160394037,3,1,2357947691,61917364224,1792160394037,3,1.000000,1,1,0.9900,0.999900,a(n)=n^(n-2),final-medium-independent-r01
final,medium,direct,F01,2,50521,353792,2830453,3,1,50521,353792,2702765,2,0.666667,0,0,0.5800,0.663600,Connected set-partition numbers; standard recurrence for the sequence,final-medium-independent-r02
final,medium,direct,F02,2,9496,35696,140152,3,1,9496,35696,140152,3,1.000000,1,0,0.9900,0.999900,a(n)=a(n-1)+(n-1)a(n-2),final-medium-independent-r02
